Time_Index,None,west_south_central_coal,west_south_central_naturalgas,west_south_central_uranium,south_atlantic_coal,south_atlantic_naturalgas,south_atlantic_uranium,east_south_central_naturalgas,east_south_central_uranium,west_north_central_coal,west_north_central_naturalgas,east_north_central_coal,east_north_central_naturalgas,east_north_central_uranium,west_north_central_uranium,new_england_coal,new_england_naturalgas,new_england_uranium,middle_atlantic_naturalgas,middle_atlantic_uranium,middle_atlantic_coal,east_south_central_coal,mountain_coal,mountain_naturalgas,mountain_uranium,pacific_naturalgas,pacific_coal,pacific_uranium,west_south_central_naturalgas_ccs90,south_atlantic_naturalgas_ccs90,east_south_central_naturalgas_ccs90,west_north_central_naturalgas_ccs90,east_north_central_naturalgas_ccs90,new_england_naturalgas_ccs90,middle_atlantic_naturalgas_ccs90,mountain_naturalgas_ccs90,pacific_naturalgas_ccs90
18,0.0,1.73,3.67,0.72,2.39,4.21,0.72,3.91,0.72,1.57,4.07,1.8,3.51,0.72,0.72,0.0,3.86,0.72,3.25,0.72,2.22,1.83,1.32,4.33,0.72,4.01,1.97,0.72,3.67,4.21,3.91,4.07,3.51,3.86,3.25,4.33,4.01
19,0.0,1.73,3.67,0.72,2.39,4.21,0.72,3.91,0.72,1.57,4.07,1.8,3.51,0.72,0.72,0.0,3.86,0.72,3.25,0.72,2.22,1.83,1.32,4.33,0.72,4.01,1.97,0.72,3.67,4.21,3.91,4.07,3.51,3.86,3.25,4.33,4.01
20,0.0,1.73,3.67,0.72,2.39,4.21,0.72,3.91,0.72,1.57,4.07,1.8,3.51,0.72,0.72,0.0,3.86,0.72,3.25,0.72,2.22,1.83,1.32,4.33,0.72,4.01,1.97,0.72,3.67,4.21,3.91,4.07,3.51,3.86,3.25,4.33,4.01
21,0.0,1.73,3.67,0.72,2.39,4.21,0.72,3.91,0.72,1.57,4.07,1.8,3.51,0.72,0.72,0.0,3.86,0.72,3.25,0.72,2.22,1.83,1.32,4.33,0.72,4.01,1.97,0.72,3.67,4.21,3.91,4.07,3.51,3.86,3.25,4.33,4.01
22,0.0,1.73,3.67,0.72,2.39,4.21,0.72,3.91,0.72,1.57,4.07,1.8,3.51,0.72,0.72,0.0,3.86,0.72,3.25,0.72,2.22,1.83,1.32,4.33,0.72,4.01,1.97,0.72,3.67,4.21,3.91,4.07,3.51,3.86,3.25,4.33,4.01
23,0.0,1.73,3.67,0.72,2.39,4.21,0.72,3.91,0.72,1.57,4.07,1.8,3.51,0.72,0.72,0.0,3.86,0.72,3.25,0.72,2.22,1.83,1.32,4.33,0.72,4.01,1.97,0.72,3.67,4.21,3.91,4.07,3.51,3.86,3.25,4.33,4.01
24,0.0,1.73,3.67,0.72,2.39,4.21,0.72,3.91,0.72,1.57,4.07,1.8,3.51,0.72,0.72,0.0,3.86,0.72,3.25,0.72,2.22,1.83,1.32,4.33,0.72,4.01,1.97,0.72,3.67,4.21,3.91,4.07,3.51,3.86,3.25,4.33,4.01
25,0.0,1.73,3.67,0.72,2.39,4.21,0.72,3.91,0.72,1.57,4.07,1.8,3.51,0.72,0.72,0.0,3.86,0.72,3.25,0.72,2.22,1.83,1.32,4.33,0.72,4.01,1.97,0.72,3.67,4.21,3.91,4.07,3.51,3.86,3.25,4.33,4.01
26,0.0,1.73,3.67,0.72,2.39,4.21,0.72,3.91,0.72,1.57,4.07,1.8,3.51,0.72,0.72,0.0,3.86,0.72,3.25,0.72,2.22,1.83,1.32,4.33,0.72,4.01,1.97,0.72,3.67,4.21,3.91,4.07,3.51,3.86,3.25,4.33,4.01
27,0.0,1.73,3.67,0.72,2.39,4.21,0.72,3.91,0.72,1.57,4.07,1.8,3.51,0.72,0.72,0.0,3.86,0.72,3.25,0.72,2.22,1.83,1.32,4.33,0.72,4.01,1.97,0.72,3.67,4.21,3.91,4.07,3.51,3.86,3.25,4.33,4.01
