Time Period,Month,Day,Hours,50Hertz,Amprion,TenneT,TransnetBW
1,1,1,1,0.6874829721518653,0.6874829721518653,0.6874829721518653,0.6874829721518653
1,1,1,2,0.6979328726761967,0.6979328726761967,0.6979328726761967,0.6979328726761967
1,1,1,3,0.7069787651802901,0.7069787651802901,0.7069787651802901,0.7069787651802901
1,1,1,4,0.6716016495976861,0.6716016495976861,0.6716016495976861,0.6716016495976861
1,1,1,5,0.6692891657996471,0.6692891657996471,0.6692891657996471,0.6692891657996471
1,1,1,6,0.674973212109953,0.674973212109953,0.674973212109953,0.674973212109953
1,1,1,7,0.7088491564875276,0.7088491564875276,0.7088491564875276,0.7088491564875276
1,1,1,8,0.7267757640815689,0.7267757640815689,0.7267757640815689,0.7267757640815689
1,1,1,9,0.7400045316909387,0.7400045316909387,0.7400045316909387,0.7400045316909387
1,1,1,10,0.7130028826373664,0.7130028826373664,0.7130028826373664,0.7130028826373664
1,1,1,11,0.7435558460950699,0.7435558460950699,0.7435558460950699,0.7435558460950699
1,1,1,12,0.7339561234376646,0.7339561234376646,0.7339561234376646,0.7339561234376646
1,1,1,13,0.7537191152242663,0.7537191152242663,0.7537191152242663,0.7537191152242663
1,1,1,14,0.7832664397193771,0.7832664397193771,0.7832664397193771,0.7832664397193771
1,1,1,15,0.8172492636002224,0.8172492636002224,0.8172492636002224,0.8172492636002224
1,1,1,16,0.8914673623032494,0.8914673623032494,0.8914673623032494,0.8914673623032494
1,1,1,17,0.9059592513149094,0.9059592513149094,0.9059592513149094,0.9059592513149094
1,1,1,18,0.9438723260205729,0.9438723260205729,0.9438723260205729,0.9438723260205729
1,1,1,19,0.9328248719097735,0.9328248719097735,0.9328248719097735,0.9328248719097735
1,1,1,20,0.9101324101017065,0.9101324101017065,0.9101324101017065,0.9101324101017065
1,1,1,21,0.9066053864937732,0.9066053864937732,0.9066053864937732,0.9066053864937732
1,1,1,22,0.8822562923850102,0.8822562923850102,0.8822562923850102,0.8822562923850102
1,1,1,23,0.8456452043555536,0.8456452043555536,0.8456452043555536,0.8456452043555536
1,1,1,24,0.8497357744352778,0.8497357744352778,0.8497357744352778,0.8497357744352778
1,1,2,1,0.811710962067104,0.811710962067104,0.811710962067104,0.811710962067104
1,1,2,2,0.796436909417872,0.796436909417872,0.796436909417872,0.796436909417872
1,1,2,3,0.7646888387872325,0.7646888387872325,0.7646888387872325,0.7646888387872325
1,1,2,4,0.7411121919975624,0.7411121919975624,0.7411121919975624,0.7411121919975624
1,1,2,5,0.696077055846678,0.696077055846678,0.696077055846678,0.696077055846678
1,1,2,6,0.6682398034038984,0.6682398034038984,0.6682398034038984,0.6682398034038984
1,1,2,7,0.6575081296436716,0.6575081296436716,0.6575081296436716,0.6575081296436716
1,1,2,8,0.601814192121154,0.601814192121154,0.601814192121154,0.601814192121154
1,1,2,9,0.5400086902752478,0.5400086902752478,0.5400086902752478,0.5400086902752478
1,1,2,10,0.4747733280061998,0.4747733280061998,0.4747733280061998,0.4747733280061998
1,1,2,11,0.39414731726616997,0.39414731726616997,0.39414731726616997,0.39414731726616997
1,1,2,12,0.3514489557095225,0.3514489557095225,0.3514489557095225,0.3514489557095225
1,1,2,13,0.3339061426954078,0.3339061426954078,0.3339061426954078,0.3339061426954078
1,1,2,14,0.33680646376143564,0.33680646376143564,0.33680646376143564,0.33680646376143564
1,1,2,15,0.31962801269028923,0.31962801269028923,0.31962801269028923,0.31962801269028923
1,1,2,16,0.3257541514913966,0.3257541514913966,0.3257541514913966,0.3257541514913966
1,1,2,17,0.3527023607933335,0.3527023607933335,0.3527023607933335,0.3527023607933335
1,1,2,18,0.4029697344452429,0.4029697344452429,0.4029697344452429,0.4029697344452429
1,1,2,19,0.4180786096803292,0.4180786096803292,0.4180786096803292,0.4180786096803292
1,1,2,20,0.4618214754734859,0.4618214754734859,0.4618214754734859,0.4618214754734859
1,1,2,21,0.4822500350759097,0.4822500350759097,0.4822500350759097,0.4822500350759097
1,1,2,22,0.4803504948132349,0.4803504948132349,0.4803504948132349,0.4803504948132349
1,1,2,23,0.4860296829643011,0.4860296829643011,0.4860296829643011,0.4860296829643011
1,1,2,24,0.48814784039275694,0.48814784039275694,0.48814784039275694,0.48814784039275694
1,1,3,1,0.48655436416217546,0.48655436416217546,0.48655436416217546,0.48655436416217546
1,1,3,2,0.4901688346364212,0.4901688346364212,0.4901688346364212,0.4901688346364212
1,1,3,3,0.5118896645965726,0.5118896645965726,0.5118896645965726,0.5118896645965726
1,1,3,4,0.5179380728498467,0.5179380728498467,0.5179380728498467,0.5179380728498467
1,1,3,5,0.5510172791121306,0.5510172791121306,0.5510172791121306,0.5510172791121306
1,1,3,6,0.577120168706381,0.577120168706381,0.577120168706381,0.577120168706381
1,1,3,7,0.6211642403723915,0.6211642403723915,0.6211642403723915,0.6211642403723915
1,1,3,8,0.641102125891618,0.641102125891618,0.641102125891618,0.641102125891618
1,1,3,9,0.6794184278141665,0.6794184278141665,0.6794184278141665,0.6794184278141665
1,1,3,10,0.6941192176731282,0.6941192176731282,0.6941192176731282,0.6941192176731282
1,1,3,11,0.7025578402722745,0.7025578402722745,0.7025578402722745,0.7025578402722745
1,1,3,12,0.7221945199186472,0.7221945199186472,0.7221945199186472,0.7221945199186472
1,1,3,13,0.7147518199636144,0.7147518199636144,0.7147518199636144,0.7147518199636144
1,1,3,14,0.7068524530400612,0.7068524530400612,0.7068524530400612,0.7068524530400612
1,1,3,15,0.7127696909938667,0.7127696909938667,0.7127696909938667,0.7127696909938667
1,1,3,16,0.7006534418503602,0.7006534418503602,0.7006534418503602,0.7006534418503602
1,1,3,17,0.6907330806831427,0.6907330806831427,0.6907330806831427,0.6907330806831427
1,1,3,18,0.6741424668799852,0.6741424668799852,0.6741424668799852,0.6741424668799852
1,1,3,19,0.6406697497192956,0.6406697497192956,0.6406697497192956,0.6406697497192956
1,1,3,20,0.6420397506248564,0.6420397506248564,0.6420397506248564,0.6420397506248564
1,1,3,21,0.6347670862432088,0.6347670862432088,0.6347670862432088,0.6347670862432088
1,1,3,22,0.6284174721170809,0.6284174721170809,0.6284174721170809,0.6284174721170809
1,1,3,23,0.5859911674778497,0.5859911674778497,0.5859911674778497,0.5859911674778497
1,1,3,24,0.544308161202274,0.544308161202274,0.544308161202274,0.544308161202274
1,1,4,1,0.5091156556707738,0.5091156556707738,0.5091156556707738,0.5091156556707738
1,1,4,2,0.47118314832815195,0.47118314832815195,0.47118314832815195,0.47118314832815195
1,1,4,3,0.40781817736634135,0.40781817736634135,0.40781817736634135,0.40781817736634135
1,1,4,4,0.3454831361633212,0.3454831361633212,0.3454831361633212,0.3454831361633212
1,1,4,5,0.2972367567550761,0.2972367567550761,0.2972367567550761,0.2972367567550761
1,1,4,6,0.24144565604776697,0.24144565604776697,0.24144565604776697,0.24144565604776697
1,1,4,7,0.21803904483148212,0.21803904483148212,0.21803904483148212,0.21803904483148212
1,1,4,8,0.19992782718633684,0.19992782718633684,0.19992782718633684,0.19992782718633684
1,1,4,9,0.1956623633739877,0.1956623633739877,0.1956623633739877,0.1956623633739877
1,1,4,10,0.1969206266170383,0.1969206266170383,0.1969206266170383,0.1969206266170383
1,1,4,11,0.19006090577075474,0.19006090577075474,0.19006090577075474,0.19006090577075474
1,1,4,12,0.20526694419063263,0.20526694419063263,0.20526694419063263,0.20526694419063263
1,1,4,13,0.1876609751064034,0.1876609751064034,0.1876609751064034,0.1876609751064034
1,1,4,14,0.19747445677035014,0.19747445677035014,0.19747445677035014,0.19747445677035014
1,1,4,15,0.19580324999193546,0.19580324999193546,0.19580324999193546,0.19580324999193546
1,1,4,16,0.19790197478343297,0.19790197478343297,0.19790197478343297,0.19790197478343297
1,1,4,17,0.21527475222416245,0.21527475222416245,0.21527475222416245,0.21527475222416245
1,1,4,18,0.22570522011153557,0.22570522011153557,0.22570522011153557,0.22570522011153557
1,1,4,19,0.2376465755224173,0.2376465755224173,0.2376465755224173,0.2376465755224173
1,1,4,20,0.24927215058272648,0.24927215058272648,0.24927215058272648,0.24927215058272648
1,1,4,21,0.2433063310365252,0.2433063310365252,0.2433063310365252,0.2433063310365252
1,1,4,22,0.2447589206491589,0.2447589206491589,0.2447589206491589,0.2447589206491589
1,1,4,23,0.24019710912319553,0.24019710912319553,0.24019710912319553,0.24019710912319553
1,1,4,24,0.22866383908843832,0.22866383908843832,0.22866383908843832,0.22866383908843832
1,1,5,1,0.20560701533740305,0.20560701533740305,0.20560701533740305,0.20560701533740305
1,1,5,2,0.20150672893919955,0.20150672893919955,0.20150672893919955,0.20150672893919955
1,1,5,3,0.19364136913032343,0.19364136913032343,0.19364136913032343,0.19364136913032343
1,1,5,4,0.17607912347925042,0.17607912347925042,0.17607912347925042,0.17607912347925042
1,1,5,5,0.1825890568602844,0.1825890568602844,0.1825890568602844,0.1825890568602844
1,1,5,6,0.2153524827719957,0.2153524827719957,0.2153524827719957,0.2153524827719957
1,1,5,7,0.2573124041242274,0.2573124041242274,0.2573124041242274,0.2573124041242274
1,1,5,8,0.31838432392495736,0.31838432392495736,0.31838432392495736,0.31838432392495736
1,1,5,9,0.3978978161991239,0.3978978161991239,0.3978978161991239,0.3978978161991239
1,1,5,10,0.4573519689730745,0.4573519689730745,0.4573519689730745,0.4573519689730745
1,1,5,11,0.5179380728498467,0.5179380728498467,0.5179380728498467,0.5179380728498467
1,1,5,12,0.5551224236695737,0.5551224236695737,0.5551224236695737,0.5551224236695737
1,1,5,13,0.5737145990794371,0.5737145990794371,0.5737145990794371,0.5737145990794371
1,1,5,14,0.5950564926189015,0.5950564926189015,0.5950564926189015,0.5950564926189015
1,1,5,15,0.6229617592910353,0.6229617592910353,0.6229617592910353,0.6229617592910353
1,1,5,16,0.6502208907843051,0.6502208907843051,0.6502208907843051,0.6502208907843051
1,1,5,17,0.7005368460286103,0.7005368460286103,0.7005368460286103,0.7005368460286103
1,1,5,18,0.7294477516633365,0.7294477516633365,0.7294477516633365,0.7294477516633365
1,1,5,19,0.7321051647673855,0.7321051647673855,0.7321051647673855,0.7321051647673855
1,1,5,20,0.7248130677487795,0.7248130677487795,0.7248130677487795,0.7248130677487795
1,1,5,21,0.7066046869188427,0.7066046869188427,0.7066046869188427,0.7066046869188427
1,1,5,22,0.6887509517133951,0.6887509517133951,0.6887509517133951,0.6887509517133951
1,1,5,23,0.6542191558384775,0.6542191558384775,0.6542191558384775,0.6542191558384775
1,1,5,24,0.6503034794913779,0.6503034794913779,0.6503034794913779,0.6503034794913779
1,1,6,1,0.6726364375157161,0.6726364375157161,0.6726364375157161,0.6726364375157161
1,1,6,2,0.6844903460602855,0.6844903460602855,0.6844903460602855,0.6844903460602855
1,1,6,3,0.7106709662023691,0.7106709662023691,0.7106709662023691,0.7106709662023691
1,1,6,4,0.7464367345241394,0.7464367345241394,0.7464367345241394,0.7464367345241394
1,1,6,5,0.7729962910869101,0.7729962910869101,0.7729962910869101,0.7729962910869101
1,1,6,6,0.8033695026527493,0.8033695026527493,0.8033695026527493,0.8033695026527493
1,1,6,7,0.8322561174912777,0.8322561174912777,0.8322561174912777,0.8322561174912777
1,1,6,8,0.85822297862682,0.85822297862682,0.85822297862682,0.85822297862682
1,1,6,9,0.8609143988455459,0.8609143988455459,0.8609143988455459,0.8609143988455459
1,1,6,10,0.8738079534673848,0.8738079534673848,0.8738079534673848,0.8738079534673848
1,1,6,11,0.8963206633835874,0.8963206633835874,0.8963206633835874,0.8963206633835874
