Time Period,Month,Day,Hours,50Hertz,Amprion,TenneT,TransnetBW,NI
1,1,1,1,0.6661182107010778,0.6334922253143398,0.6026395970107558,0.5660100424874469,0.0
1,1,1,2,0.6619839710472355,0.6209370034625593,0.5902317013549379,0.547521565598043,0.0
1,1,1,3,0.6502355921748063,0.5995371008183397,0.5843169437072216,0.5316595854255182,0.0
1,1,1,4,0.6143956009310664,0.5872206761634475,0.5781839293197374,0.5218230977211279,0.0
1,1,1,5,0.5548952669201936,0.5903434087381405,0.5756303254644504,0.5193253508433114,0.0
1,1,1,6,0.5676548986575916,0.5899301058973723,0.5803992352283839,0.5090768636539205,0.0
1,1,1,7,0.5572746854260021,0.5731040880243206,0.5805301892722448,0.5056263679670401,0.0
1,1,1,8,0.5675359277323011,0.5839326224524473,0.5736660148065372,0.5096176129779838,0.0
1,1,1,9,0.6330740362016628,0.6111646874052847,0.5857137868417377,0.5112398609501738,0.0
1,1,1,10,0.6543995745599711,0.6344749676246108,0.6199473564743679,0.5363975795030256,0.0
1,1,1,11,0.6844099904644803,0.6779544264734246,0.6452323997765051,0.5508175614780482,0.0
1,1,1,12,0.7154167878682968,0.7084653606296898,0.6667416014806538,0.5669370413286984,0.0
1,1,1,13,0.7201161394172685,0.7351004325903067,0.6749262292219584,0.5717265353418308,0.0
1,1,1,14,0.7108661499759381,0.7115238016513744,0.6617544349769521,0.554242307197116,0.0
1,1,1,15,0.7191495006492837,0.686257221319079,0.6473385773152676,0.5318913351358311,0.0
1,1,1,16,0.7432262416549331,0.6919608005216801,0.6647118138008102,0.5439680700399124,0.0
1,1,1,17,0.7690875465399387,0.703322036389019,0.7049256181030871,0.5879232650959186,0.0
1,1,1,18,0.7504239826350037,0.7291580561908173,0.742858639474787,0.6480751899060126,0.0
1,1,1,19,0.7523275174396504,0.7344942550905134,0.7403705126414304,0.6512939358825801,0.0
1,1,1,20,0.7337234389973606,0.7271466490324121,0.7150636436653164,0.643568945538818,0.0
1,1,1,21,0.7066426821281281,0.7012095996473149,0.6816267111328398,0.6123857345178318,0.0
1,1,1,22,0.6756804988212954,0.684117231054657,0.6570619150719375,0.5823097721127849,0.0
1,1,1,23,0.6557826115664722,0.644945306257405,0.6334028844810728,0.5671430410711986,0.0
1,1,1,24,0.6158827374971967,0.6176581342591317,0.5964083670903758,0.5328183339770826,0.0
1,1,2,1,0.6260250088782052,0.5809843955216341,0.5619783663919542,0.5035921205098494,0.0
1,1,2,2,0.5991821938595536,0.5581792632188025,0.5351546130744518,0.4661516673104158,0.0
1,1,2,3,0.585009782384332,0.5535410868946261,0.5206732783908368,0.4537916827603965,0.0
1,1,2,4,0.5803550449323441,0.5687873694651862,0.5184361468082135,0.4565469293163383,0.0
1,1,2,5,0.5946315559671949,0.5660044636706802,0.5255404036876659,0.4759624050469936,0.0
1,1,2,6,0.6153919824303737,0.5827845590058689,0.5666054092750384,0.5019441225698468,0.0
1,1,2,7,0.7138701658395212,0.6472138796278437,0.6342540857661685,0.5536758079052401,0.0
1,1,2,8,0.7773708972132845,0.6932558160894203,0.6907171043441822,0.603527745590318,0.0
1,1,2,9,0.803276816195274,0.756289091560356,0.7320658436932532,0.637749452813184,0.0
1,1,2,10,0.8219998655628543,0.7916218921922501,0.7575254923872049,0.6734646581691773,0.0
1,1,2,11,0.839220906998643,0.7871306679892358,0.7675653024165386,0.6981331273335908,0.0
1,1,2,12,0.8504190453416041,0.7999797940833402,0.7800059365833217,0.720355349555813,0.0
1,1,2,13,0.8428941343169849,0.8184682078270373,0.7821448526330493,0.7478820651474186,0.0
1,1,2,14,0.8176871695210766,0.8231614911966495,0.7741893944685012,0.7475473155658555,0.0
1,1,2,15,0.7822784478815143,0.8091459326408215,0.7652845194859618,0.7376593279258401,0.0
1,1,2,16,0.7587965615023172,0.8043240661651926,0.7770267320854868,0.7365263293420883,0.0
1,1,2,17,0.7844347959024033,0.8007145546891503,0.8038832239139545,0.7482940646324192,0.0
1,1,2,18,0.814519568635219,0.8225277601741383,0.8428966161475067,0.763486545641818,0.0
